sDMA,SDMA wise HHC,Areas,Packages,ward number,District
7.3.3,"1,356","Jyatha, Thamel, Kantipatha, Thamel marga, Keshar mahal, Inbahal, Kunayatwa, Jamal,  Ashan, Siddhidas marg",2,"17,18,25,26,27",Kathmandu Metropolitan City
7.4.1,"1,788","Ramghat, Paropakar, Kankeshwori, Damai tole, Yogbirsing marg",2,"18,19,20,22,24,25,27",Kathmandu Metropolitan City
7.4.2,821,"Ashok Binayak, Ramghat, Indrashabha marg, Layaku Chuka",2,"18,19,20,22,24,25,27",Kathmandu Metropolitan City
7.4.3,"3,334","Gangalal Marg, Itumbahal, Taha Nani, Yogbir Singh Marg,  Bhedasing",2,"18,19,20,22,24,25,27",Kathmandu Metropolitan City
7.4.4,521,"Ashan, Jamal, Bhotaihiti, Chittadhar Marg, Bir Hospital",2,"18,19,20,22,24,25,27",Kathmandu Metropolitan City
8.1.1,692,"Bhanimandal, Jawalakhel, zoo",3,"1,2,3,4,10",Lalitpur Metropolitan City
9.1.1,805, Narephat ,3,32,Kathmandu Metropolitan City
9.1.2,"1,025", Narephat ,3,32,Kathmandu Metropolitan City
9.1.3,546, Narephat ,3,32,Kathmandu Metropolitan City
9.2.1,718,Dovan area Koteswor,3,32,Kathmandu Metropolitan City
9.2.2,606,Koteswor Mahadevsthan Area,3,32,Kathmandu Metropolitan City
9.2.3,646,Phulbari Area,3,32,Kathmandu Metropolitan City
9.2.4,367,"SOS, Chautarphi Marg area",3,32,Kathmandu Metropolitan City
9.2.5,432,Police station Koteswor (North) area,3,32,Kathmandu Metropolitan City
9.2.6,616,Tinkune area (South of highway),3,32,Kathmandu Metropolitan City
9.2.7,475,"Munibhairab, Peris danda area Koteswor",3,32,Kathmandu Metropolitan City
10.1.1,478,Dallu,3,16,Kathmandu Metropolitan City
10.2.1,1102,Kumdole,3,"15,16",Kathmandu Metropolitan City
10.2.2,1167,Shobabhagawati,3,"15,16",Kathmandu Metropolitan City
1.5.1,262,"Maitighar, Ramshahpath, Sahidgate, Tripureswor",4,"11,12",Kathmandu Metropolitan City
1.5.2,357,South of Tripureswor-Teku road,4,"11,12",Kathmandu Metropolitan City
1.5.3,386,"Teku,  Bagmati corridor",4,"11,12",Kathmandu Metropolitan City
5.1.1,565,"Gwarkhu, Chyasal",4,"7,8,9,12,16",Lalitpur Metropolitan City
5.1.2,"2,600","Sundhara, Shankhamul",4,"7,8,9,12,16",Lalitpur Metropolitan City
5.1.3,"2,100",Patan Darbar squate,4,"7,8,9,12,16",Lalitpur Metropolitan City
8.2.1,"1,185",Bhanimandal,4,"2,3,4",Lalitpur Metropolitan City
8.2.2,"2,150",Jhamsikhel/inside ringroad,4,"2,3,4",Lalitpur Metropolitan City
7.1.1,"1,556",Khusibu town planning,4,"15,16",Kathmandu Metropolitan City
7.1.2,787,Khusibu town planning,4,"15,16",Kathmandu Metropolitan City
11.1.1 ,"1,800",Kalimati/Bishnumati River side,4,14,Kathmandu Metropolitan City
11.1.2 ,"2,107",Ravi Bhavan/Between Kalimati And Kalanki,4,14,Kathmandu Metropolitan City
11.2.1 ,"1,550",Kalanki,4,14,Kathmandu Metropolitan City
11.2.2 ,"1,800",Link Marg/Kuleshwor,4,14,Kathmandu Metropolitan City
8.1.2,0,,,"1,2,3,4,10",Lalitpur Metropolitan City
4.2.3,0,,,11,Kathmandu Metropolitan City
8.1.3,0,,,"1,2,3,4,10",Lalitpur Metropolitan City
4.2.2,0,,,11,Kathmandu Metropolitan City
4.1.2,0,,,29,Kathmandu Metropolitan City
